Character,Word,Word Count
Cobel,doorway,1
Cobel,doug,1
Cobel,down,5
Cobel,dread,1
Cobel,drew,1
Cobel,drive,1
Cobel,drop,1
Cobel,dylan,3
Cobel,eagan,2
Cobel,early,2
Cobel,easy,1
Cobel,eight,1
Cobel,eleanor,3
Cobel,embarrassed,1
Cobel,employer,1
Cobel,end,2
Cobel,ending,1
Cobel,equipment,1
Cobel,equipped,1
Cobel,escalate,1
Cobel,escort,2
Cobel,even,5
Cobel,evening,1
Cobel,ever,3
Cobel,evermore,1
Cobel,every,3
Cobel,everything,6
Cobel,everywhere,2
Cobel,exhale,1
Cobel,exit,1
Cobel,experimenting,1
Cobel,explain,1
Cobel,expose,1
Cobel,express,1
Cobel,failed,1
Cobel,fake,1
Cobel,falls,1
Cobel,farting,1
Cobel,fear,1
Cobel,feed,1
Cobel,feel,2
Cobel,feeling,1
Cobel,feelings,1
Cobel,few,1
Cobel,fifth,1
Cobel,figure,2
Cobel,file,4
Cobel,filled,1
Cobel,filth,1
Cobel,final,1
Cobel,find,3
Cobel,findings,1
Cobel,fine,2
Cobel,finish,1
Cobel,finished,2
Cobel,fire,2
Cobel,first,1
Cobel,five,1
Cobel,fix,2
Cobel,fleet,1
Cobel,floor,6
Cobel,flowchart,1
Cobel,flying,1
Cobel,for,27
Cobel,forever,1
Cobel,forward,2
Cobel,found,1
Cobel,four,1
Cobel,freedom,1
Cobel,friend,1
Cobel,friends,1
Cobel,frolic,1
Cobel,from,5
Cobel,frost,1
Cobel,fuck,4
Cobel,fucking,4
Cobel,fun,2
Cobel,funeral,1
Cobel,g,1
Cobel,gable,1
Cobel,gag,1
Cobel,gained,1
Cobel,gemma,1
Cobel,get,10
Cobel,gets,1
Cobel,giddy,1
Cobel,give,3
Cobel,given,1
Cobel,go,6
Cobel,god,2
Cobel,goddamn,4
Cobel,goes,1
Cobel,going,1
Cobel,gold,1
Cobel,gone,1
Cobel,gonna,3
Cobel,good,8
Cobel,got,1
Cobel,graner,4
Cobel,grow,1
Cobel,guest,1
Cobel,guide,1
Cobel,hacked,1
Cobel,had,3
Cobel,half,1
Cobel,halls,1
Cobel,hallway,3
Cobel,hand,1
Cobel,handle,1
Cobel,handshake,1
Cobel,happened,3
Cobel,happening,1
Cobel,happy,1
Cobel,harbor,5
Cobel,hard,2
Cobel,has,3
Cobel,have,23
Cobel,having,2
Cobel,he,16
Cobel,heads,1
Cobel,heard,2
Cobel,heart,1
Cobel,held,1
Cobel,helena,1
Cobel,hell,5
Cobel,hello,4
Cobel,helly,5
Cobel,help,2
Cobel,her,21
Cobel,here,5
Cobel,hereafter,1
Cobel,hereby,1
Cobel,hi,2
Cobel,hibiscus,1
Cobel,hidden,1
Cobel,him,7
Cobel,himself,1
Cobel,his,7
Cobel,hit,1
Cobel,honeymoon,1
Cobel,hope,2
Cobel,horrid,1
Cobel,hose,1
Cobel,hospital,1
Cobel,hot,1
Cobel,hours,1
Cobel,house,2
Cobel,how,4
Cobel,hug,1
Cobel,hugged,1
Cobel,huh,1
Cobel,human,1
Cobel,humans,1
Cobel,humility,1
Cobel,hungover,1
Cobel,husband,2
Cobel,husk,1
Cobel,i,75
Cobel,if,12
Cobel,ill,1
Cobel,imagination,1
Cobel,imagine,2
Cobel,important,1
Cobel,in,19
Cobel,incompetence,1
Cobel,industry,1
Cobel,inefficiency,1
Cobel,initiative,1
Cobel,innie,2
Cobel,innies,1
Cobel,intend,1
Cobel,intention,1
Cobel,intermediaries,1
Cobel,interview,1
Cobel,into,5
Cobel,involved,1
Cobel,irving,3
Cobel,is,35
Cobel,it,37
Cobel,its,1
Cobel,itself,1
Cobel,jack,1
Cobel,jesus,1
Cobel,job,1
Cobel,joining,2
Cobel,just,19
Cobel,keep,4
Cobel,key,1
Cobel,kier,4
Cobel,killed,1
Cobel,kilmer,2
Cobel,knew,2
Cobel,know,12
Cobel,last,2
Cobel,latch,1
Cobel,late,1
Cobel,later,1
Cobel,lavender,1
Cobel,leakies,1
Cobel,lean,1
Cobel,least,1
Cobel,leave,2
Cobel,left,2
Cobel,let,8
Cobel,life,2
Cobel,light,1
Cobel,like,8
Cobel,lionizing,1
Cobel,little,5
Cobel,lock,1
Cobel,long,2
Cobel,longer,2
Cobel,look,7
Cobel,looking,2
Cobel,love,2
Cobel,lumon,3
Cobel,macrodata,1
Cobel,made,2
Cobel,make,4
Cobel,makes,2
Cobel,malice,1
Cobel,man,2
Cobel,manager,1
Cobel,manservants,1
Cobel,mark,44
Cobel,marsha,1
Cobel,may,5
Cobel,maybe,3
Cobel,mdr,4
Cobel,me,20
Cobel,meadow,1
Cobel,mean,2
Cobel,meeting,1
Cobel,mentioned,1
Cobel,messages,1
Cobel,milchick,6
Cobel,mildewed,1
